Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,843.95,845.60,835.55,839.75,839.95,839.70,840.26,958.20,642.15,"82,46,139","6,92,89,11,922.70","1,74,647"
2023-02-27,EQ,833.55,858.30,833.55,839.70,857.90,856.40,848.93,958.20,642.15,"1,44,22,574","12,24,37,99,621.55","2,05,067"
2023-02-28,EQ,854.90,858.00,850.00,856.40,854.15,854.85,853.72,958.20,642.15,"1,96,00,146","16,73,30,73,110.85","2,08,771"
2023-03-01,EQ,864.00,864.00,851.85,854.85,856.10,856.30,857.22,958.20,642.15,"1,10,15,843","9,44,30,55,261.20","2,17,804"
2023-03-02,EQ,853.00,861.85,851.10,856.30,852.10,854.00,858.06,958.20,642.15,"1,23,27,141","10,57,74,65,279.10","1,86,314"
2023-03-03,EQ,856.75,873.00,849.85,854.00,866.50,868.55,866.99,958.20,642.15,"1,28,23,098","11,11,75,45,319.00","2,00,269"
2023-03-06,EQ,871.75,876.85,865.35,868.55,868.60,867.75,870.34,958.20,642.15,"1,39,04,231","12,10,14,44,323.30","1,88,956"
2023-03-08,EQ,866.65,873.65,861.50,867.75,872.00,872.10,866.21,958.20,642.15,"1,61,44,568","13,98,45,06,148.35","2,11,371"
2023-03-09,EQ,867.20,869.80,854.15,872.10,856.40,855.95,862.74,958.20,642.15,"1,06,24,440","9,16,61,63,272.80","1,74,754"
2023-03-10,EQ,844.70,845.35,836.25,855.95,842.15,842.65,842.84,958.20,642.15,"1,72,73,189","14,55,85,64,028.95","2,22,667"
2023-03-13,EQ,841.45,855.30,823.95,842.65,830.00,828.40,841.10,958.20,669.95,"1,64,13,159","13,80,51,60,212.15","2,65,017"
2023-03-14,EQ,827.00,834.45,818.25,828.40,832.50,830.35,825.99,958.20,669.95,"1,54,56,802","12,76,70,98,939.30","2,63,294"
2023-03-15,EQ,836.45,843.95,822.20,830.35,823.40,825.90,833.09,958.20,669.95,"1,29,14,488","10,75,89,85,936.30","1,91,124"
2023-03-16,EQ,829.70,831.30,810.30,825.90,825.55,823.90,821.20,958.20,669.95,"1,49,87,868","12,30,80,61,095.50","4,21,367"
2023-03-17,EQ,831.80,838.40,818.65,823.90,838.00,836.25,828.45,958.20,669.95,"1,11,04,490","9,19,95,38,620.00","2,31,625"
2023-03-20,EQ,837.00,837.80,825.00,836.25,836.85,836.45,830.52,958.20,669.95,"1,48,38,651","12,32,37,76,072.30","2,78,069"
2023-03-21,EQ,843.00,854.50,839.05,836.45,851.75,852.40,846.11,958.20,669.95,"1,87,55,854","15,86,94,62,815.95","2,24,691"
2023-03-22,EQ,857.65,862.55,851.00,852.40,858.15,860.20,856.36,958.20,669.95,"1,74,31,520","14,92,76,07,314.90","1,56,728"
2023-03-23,EQ,857.00,867.45,852.80,860.20,854.10,855.45,862.06,958.20,669.95,"1,79,20,621","15,44,86,61,801.95","2,14,120"
2023-03-24,EQ,852.50,860.00,849.15,855.45,851.45,852.40,854.95,958.20,669.95,"1,72,95,696","14,78,69,27,519.65","1,98,327"
2023-03-27,EQ,854.95,856.40,844.05,852.40,846.90,848.70,849.34,958.20,669.95,"1,70,47,675","14,47,91,94,037.90","2,18,983"
2023-03-28,EQ,855.55,858.90,848.20,848.70,856.90,854.75,853.35,958.20,669.95,"2,44,69,018","20,88,07,09,975.30","2,08,296"
2023-03-29,EQ,857.05,862.10,848.00,854.75,855.00,851.00,854.88,958.20,669.95,"3,48,81,515","29,81,94,16,000.65","2,85,499"
2023-03-31,EQ,861.95,881.00,858.50,851.00,876.90,877.25,874.98,958.20,669.95,"2,57,39,021","22,52,10,29,030.15","2,79,968"
2023-04-03,EQ,880.20,887.10,868.85,877.25,884.50,883.80,877.16,958.20,669.95,"2,64,16,933","23,17,18,77,331.15","2,27,883"
2023-04-05,EQ,886.60,887.75,874.00,883.80,885.00,884.60,881.05,958.20,669.95,"2,10,68,934","18,56,27,12,710.80","1,98,760"
